latitude,longitude,tanggal,kelurahan,kecamatan,wilayah
-6.140977,106.766575,01 Januari 2017,Kapuk,Cengkareng, Kota Administrasi Jakarta Barat
-6.112499,106.899001,01 Januari 2017,Koja,Koja, Kota Administrasi Jakarta Utara
-6.118336,106.916949,01 Januari 2017,Lagoa,Koja, Kota Administrasi Jakarta Utara
-6.201144,106.839852,01 Januari 2017,Pegangsaan ,Menteng, Kota Administrasi Jakarta Pusat
-6.167022,106.934411,02 Januari 2017,Cakung Barat,Cakung, Kota Administrasi Jakarta Timur
-6.281133,106.816408,02 Januari 2017,Cilandak Timur,Pasar Minggu, Kota Administrasi Jakarta Selatan
-6.151604,106.817043,02 Januari 2017,Keagungan,Tamansari, Kota Administrasi Jakarta Barat
-6.140936,106.840674,03 Januari 2017,Pademangan Timur,Pademangan, Kota Administrasi Jakarta Utara
-6.115515,106.689156,03 Januari 2017,Kalideres,Kalideres, Kota Administrasi Jakarta Barat
-6.177591,106.815039,03 Januari 2017,Petojo selatan ,Gambir, Kota Administrasi Jakarta Pusat
-6.245379,106.828885,03 Januari 2017,Mampang Prapatan,Mampang Prapatan, Kota Administrasi Jakarta Selatan
-6.242882,106.786048,04 Januari 2017,Kramat Pela,Kebayoran Baru, Kota Administrasi Jakarta Selatan
-6.235126,106.867887,04 Januari 2017,Bidara Cina,Jatinegara, Kota Administrasi Jakarta Timur
-6.172152,106.727857,04 Januari 2017,Duri Kosambi,Cengkareng, Kota Administrasi Jakarta Barat
-6.154477,106.940835,05 Januari 2017,Cakung Timur,Cakung, Kota Administrasi Jakarta Timur
-6.279408,106.860922,05 Januari 2017,Batu Ampar,Kramat Jati, Kota Administrasi Jakarta Timur
-6.161853,106.731459,05 Januari 2017,Rawa Buaya,Cengkareng, Kota Administrasi Jakarta Barat
-6.180652,106.839623,05 Januari 2017,Senen,Senen, Kota Administrasi Jakarta Pusat
-6.253588,106.797172,05 Januari 2017,Pulo,Kebayoran Baru, Kota Administrasi Jakarta Selatan
-6.343282,106.856248,05 Januari 2017,Pekayon,Pasar Rebo, Kota Administrasi Jakarta Timur
-6.137717,106.817233,05 Januari 2017,Pinangsia,Tamansari, Kota Administrasi Jakarta Barat
-6.105844,106.922411,06 Januari 2017,Kalibaru,Cilincing, Kota Administrasi Jakarta Utara
-6.270596,106.837869,06 Januari 2017,Pejaten Barat,Pasar Minggu, Kota Administrasi Jakarta Selatan
-6.219243,106.845528,07 Januari 2017,Manggarai Selatan,Tebet, Kota Administrasi Jakarta Selatan
-6.259196,106.883957,07 Januari 2017,Halim Perdana Kusuma,Makasar, Kota Administrasi Jakarta Timur
-6.208383,106.901886,07 Januari 2017,Klender,Duren Sawit, Kota Administrasi Jakarta Timur
-6.219502,106.848205,07 Januari 2017,Manggarai Selatan,Tebet, Kota Administrasi Jakarta Selatan
-6.317181,106.891397,08 Januari 2017,Ceger,Cipayung, Kota Administrasi Jakarta Timur
-6.232461,106.925601,08 Januari 2017,Pondok Kelapa,Duren Sawit, Kota Administrasi Jakarta Timur
-6.179986,106.871948,09 Januari 2017,Cempaka Putih Timur,Cempaka Putih, Kota Administrasi Jakarta Pusat
-6.248619,106.800188,09 Januari 2017,Melawai,Kebayoran Baru, Kota Administrasi Jakarta Selatan
-6.287115,106.771138,09 Januari 2017,Pondok Pinang,Kebayoran Lama, Kota Administrasi Jakarta Selatan
-6.249857,106.764056,10 Januari 2017,Pesanggrahan,Pesanggrahan, Kota Administrasi Jakarta Selatan
-6.201366,106.894769,10 Januari 2017,Rawamangun,Pulogadung, Kota Administrasi Jakarta Timur
